,Hour Category,Temperature,Humidity,Wind Speed,Sunshine,Cloud Level,Season Category,IsHoliday,Dust Density,Weekday,Vector,Feeling Temperature,Discomfort Index,IsRain
0,2.0,21.0,91.0,1.5,0.0,10.0,0.0,1.0,7.0,6,"0, 0, 0, 1, 0, 0, 0, 0, 0, 0",22.185325490166385,69.2159,1
1,3.0,19.8,54.0,3.1,0.0,10.0,0.0,0.0,43.0,3,"0, 0, 0, 0, 4, 0, 0, 0, 0, 0",20.24864760129678,65.20107999999999,1
2,1.0,20.1,55.0,2.8,0.9,5.0,1.0,1.0,33.0,5,"0, 0, 0, 0, 2, 0, 0, 0, 0, 0",20.690878709407883,65.66045,0
3,2.0,21.5,51.0,1.8,0.5,8.0,1.0,1.0,31.0,5,"0, 0, 0, 0, 2, 0, 0, 0, 0, 0",22.645421097326338,67.27735,0
4,1.0,25.5,51.0,1.8,1.0,4.0,1.0,0.0,45.0,2,"0, 0, 0, 0, 2, 0, 0, 0, 0, 0",27.270147268889623,72.53694999999999,0
5,2.0,28.6,41.0,2.6,1.0,0.0,1.0,0.0,28.0,2,"0, 0, 0, 0, 3, 0, 0, 0, 0, 0",30.851850250233454,75.21174,0
6,2.0,29.4,44.0,2.8,1.0,0.0,1.0,0.0,75.0,2,"0, 0, 0, 0, 1, 0, 0, 0, 0, 0",31.807615163888716,76.62863999999999,0
7,3.0,25.8,55.0,2.9,0.7,6.0,1.0,0.0,40.0,2,"0, 0, 0, 0, 1, 0, 0, 0, 0, 0",27.495070277298055,73.3811,0
8,3.0,24.9,57.0,1.9,0.0,8.0,1.0,0.0,48.0,2,"0, 0, 0, 1, 1, 0, 0, 0, 0, 0",26.558897470722478,72.36907,0
9,3.0,24.2,59.0,2.1,0.0,5.0,1.0,0.0,41.0,2,"0, 0, 0, 0, 4, 0, 0, 0, 0, 0",25.707351464104978,71.60022,0
10,1.0,23.3,62.0,0.4,0.0,9.0,1.0,1.0,61.0,3,"0, 0, 0, 0, 2, 0, 0, 0, 0, 0",25.341339817514413,70.60854,0
11,2.0,24.7,57.0,1.4,0.0,9.0,1.0,1.0,39.0,3,"0, 0, 0, 0, 3, 0, 0, 0, 0, 0",26.428987233949314,72.09421,0
12,2.0,24.4,63.0,1.0,0.0,10.0,1.0,1.0,48.0,3,"0, 0, 0, 0, 2, 0, 0, 0, 0, 0",26.203559276398913,72.27328,1
13,2.0,22.8,83.0,1.2,0.0,10.0,1.0,1.0,92.0,3,"0, 0, 0, 0, 4, 0, 0, 0, 0, 0",24.345805211165022,71.63376,1
14,2.0,22.7,79.0,2.0,0.0,10.0,1.0,1.0,76.0,3,"0, 0, 0, 0, 8, 0, 0, 0, 0, 0",23.97851852351409,71.14367,1
15,3.0,22.2,74.0,2.1,0.0,10.0,1.0,1.0,47.0,3,"0, 0, 0, 0, 4, 0, 0, 0, 0, 0",23.368285543687577,69.96372,1
16,3.0,22.2,64.0,2.7,0.0,10.0,1.0,1.0,40.0,3,"0, 0, 0, 0, 3, 0, 0, 0, 0, 0",23.22267058574356,69.19592,1
17,3.0,21.0,83.0,1.9,0.0,10.0,1.0,1.0,43.0,3,"0, 0, 0, 0, 2, 0, 0, 0, 0, 0",22.031672145171736,68.69669999999999,1
18,1.0,19.2,88.0,2.2,0.0,10.0,1.0,0.0,6.0,4,"0, 0, 0, 0, 1, 0, 0, 0, 0, 0",19.820889058787913,65.99503999999999,1
19,2.0,19.8,91.0,2.4,0.0,10.0,1.0,0.0,8.0,4,"0, 0, 0, 0, 1, 0, 0, 0, 0, 0",20.456362559514453,67.16282,1
20,2.0,24.1,59.0,2.2,0.0,9.0,1.0,1.0,36.0,6,"0, 0, 0, 0, 3, 0, 0, 0, 0, 0",25.571662824393666,71.46081,1
21,2.0,24.2,58.0,1.3,0.4,10.0,1.0,0.0,13.0,1,"0, 0, 0, 0, 2, 0, 0, 0, 0, 0",25.888530388911278,71.50363999999999,0
22,2.0,22.3,80.0,2.3,0.0,10.0,1.0,0.0,86.0,1,"0, 0, 0, 0, 1, 0, 0, 0, 0, 0",23.434006955335,70.5846,1
23,2.0,23.0,72.0,1.2,0.2,9.0,1.0,0.0,47.0,1,"0, 0, 0, 0, 1, 0, 0, 0, 0, 0",24.570324331585066,71.0284,1
24,3.0,20.3,91.0,2.2,0.0,10.0,1.0,0.0,28.0,1,"0, 0, 0, 0, 2, 0, 0, 0, 0, 0",21.111879087801455,68.01827,1
25,3.0,23.1,74.0,2.9,0.0,10.0,1.0,0.0,43.0,2,"0, 1, 0, 0, 3, 0, 0, 0, 0, 0",24.258906974098394,71.35206,1
26,3.0,22.2,76.0,2.6,0.0,8.0,1.0,0.0,31.0,2,"0, 3, 0, 0, 3, 0, 0, 0, 0, 0",23.244913206791693,70.11728,1
27,3.0,21.0,82.0,2.7,0.0,6.0,1.0,0.0,23.0,2,"0, 1, 0, 0, 0, 0, 0, 0, 0, 0",21.792248287459806,68.6318,0
28,1.0,21.8,75.0,1.6000000000000003,0.0,9.0,1.0,0.0,34.0,4,"1, 0, 0, 0, 0, 0, 2, 0, 1, 0",23.060910079319598,69.4195,0
29,1.0,22.1,72.0,1.7,0.0,9.0,1.0,0.0,31.0,4,"2, 0, 0, 0, 0, 2, 10, 0, 1, 0, 1",23.371138654943643,69.65788,0
30,2.0,23.399999999999995,65.0,1.8999999999999997,0.10000000000000002,9.0,1.0,0.0,19.0,4,"5, 0, 0, 2, 2, 0, 7, 0, 1, 0, 2",24.817656960895263,71.01689999999999,0
31,2.0,23.9,68.0,2.0,0.4,9.0,1.0,0.0,9.0,4,"1, 0, 0, 3, 2, 3, 2, 0, 4, 0, 1",25.376844247421324,72.02448,0
32,2.0,24.0,67.0,2.0,0.0,8.0,1.0,0.0,25.0,4,"2, 0, 0, 0, 0, 3, 2, 2, 2, 0",25.49337139108026,72.0782,0
33,2.0,26.0,59.0,2.4,0.9,6.0,1.0,0.0,18.0,4,"3, 0, 0, 2, 2, 0, 2, 0, 2, 0",27.780842120775397,74.1096,0
34,2.0,25.8,60.0,2.6,0.5,8.0,1.0,0.0,34.0,4,"0, 0, 0, 4, 2, 1, 0, 0, 0, 0",27.523815293727683,73.9432,0
35,3.0,23.1,73.0,0.9,0.0,8.0,1.0,0.0,19.0,4,"7, 10, 0, 26, 3, 5, 8, 3, 5, 0, 1, 1",24.808277356605586,71.26637,1
36,2.0,27.3,52.0,1.1,0.0,10.0,1.0,0.0,38.0,2,"1, 0, 0, 2, 1, 1, 9, 0, 1, 0",29.407017516585917,75.03104,1
37,2.0,28.5,48.0,1.8,0.0,10.0,1.0,0.0,33.0,2,"2, 0, 0, 1, 0, 1, 6, 0, 1, 0",30.738691897562077,76.0642,1
38,2.0,29.9,55.0,2.5,0.3,9.0,1.0,0.0,27.0,3,"4, 3, 0, 1, 2, 0, 2, 0, 0, 0, 1, 1",32.39266690860504,78.93455,0
39,1.0,25.1,70.0,1.5,0.0,9.0,1.0,0.0,47.0,4,"2, 0, 0, 0, 1, 0, 2, 0, 3, 0",26.86264407630439,74.0153,0
40,1.0,25.399999999999995,70.0,1.3,0.0,10.0,1.0,0.0,53.0,4,"1, 0, 0, 0, 4, 1, 20, 0, 0, 0, 2, 1",27.243395572297764,74.46619999999999,0
41,2.0,25.3,71.0,1.4,0.0,10.0,1.0,0.0,58.0,4,"8, 0, 0, 1, 1, 2, 11, 1, 1, 0, 2, 1",27.11005224523636,74.42337,0
42,2.0,25.3,70.0,2.2,0.0,10.0,1.0,0.0,78.0,4,"4, 0, 0, 4, 0, 1, 9, 0, 1, 0, 1",26.980015583317517,74.3159,1
43,2.0,26.100000000000005,65.0,1.1,0.0,8.0,1.0,0.0,35.0,4,"4, 0, 0, 2, 1, 1, 2, 0, 1, 0",28.068216186536578,74.94135,1
44,2.0,28.0,58.0,2.2,0.7,8.0,1.0,0.0,9.0,4,"1, 1, 0, 2, 1, 0, 3, 0, 2, 0, 1",30.14880929089619,76.7636,0
45,2.0,28.600000000000005,56.0,2.6,0.6999999999999998,7.0,1.0,0.0,22.0,4,"3, 0, 0, 5, 0, 1, 6, 0, 1, 0, 1",30.85185025023346,77.31384,0
46,3.0,25.6,67.0,2.3,0.0,10.0,1.0,0.0,51.0,4,"9, 13, 0, 17, 1, 6, 5, 1, 1, 0, 2, 2",27.319981955549366,74.43548,1
47,3.0,24.7,71.0,2.5,0.0,10.0,1.0,0.0,42.0,4,"3, 7, 0, 15, 5, 4, 15, 1, 1, 0, 2, 3",26.230477494446465,73.51563,1
48,2.0,25.4,63.0,1.8,0.9,9.0,1.0,1.0,28.0,5,"13, 0, 0, 6, 3, 7, 14, 0, 4, 0, 1",27.15452911460054,73.70698,0
49,2.0,26.3,58.0,1.3,0.8,9.0,1.0,1.0,26.0,5,"5, 1, 0, 2, 2, 5, 10, 0, 1, 0, 1, 1",28.259544459837652,74.41046,0
50,1.0,25.1,64.0,2.0,0.5,9.0,1.0,1.0,14.0,6,"7, 0, 0, 0, 0, 0, 0, 0, 5, 0",26.77516997132856,73.38236,0
51,2.0,26.6,65.0,4.5,0.3,9.0,1.0,1.0,35.0,6,"13, 3, 0, 6, 5, 6, 0, 0, 3, 0, 1",28.366687313091976,75.6681,0
52,2.0,26.0,67.0,3.2,0.2,9.0,1.0,1.0,30.0,6,"8, 1, 0, 6, 3, 3, 3, 0, 2, 0, 1",27.710271522197626,75.0248,0
53,2.0,25.7,70.0,2.9,0.2,9.0,1.0,1.0,31.0,6,"1, 9, 0, 5, 3, 10, 2, 2, 7, 0, 3, 2",27.375212377179544,74.9171,0
54,3.0,25.1,74.0,3.0,0.0,9.0,1.0,1.0,24.0,6,"13, 14, 0, 11, 2, 8, 7, 1, 1, 0, 1, 2, 2",26.644841166130977,74.43726,0
55,3.0,24.3,78.0,2.8,0.0,7.0,1.0,1.0,44.0,6,"8, 10, 0, 11, 0, 8, 7, 0, 1, 0, 2",25.711340334012135,73.59346,0
56,3.0,23.9,80.0,1.7,0.0,9.0,1.0,1.0,43.0,6,"4, 3, 0, 5, 3, 8, 7, 0, 4, 0, 1, 1",25.443503831067567,73.14779999999999,0
57,1.0,24.3,60.0,1.8,0.9,9.0,1.0,0.0,12.0,0,"2, 0, 0, 0, 1, 0, 0, 0, 3, 0",25.882729417420634,71.8372,0
58,1.0,25.3,56.0,2.7,0.9,8.0,1.0,0.0,20.0,0,"3, 0, 0, 0, 0, 2, 9, 0, 2, 0, 1",26.91792818964328,72.81132,0
59,2.0,26.399999999999995,49.0,2.6,0.9,8.0,1.0,0.0,31.0,0,"3, 1, 0, 0, 0, 1, 7, 1, 2, 0",28.236965641550345,73.48364,0
60,2.0,27.3,44.0,2.0,1.0,8.0,1.0,0.0,41.0,0,"1, 0, 0, 2, 4, 2, 6, 0, 3, 0",29.338767131825158,74.01288,0
61,1.0,25.100000000000005,51.0,1.8999999999999997,0.9,6.0,1.0,0.0,14.0,1,"4, 0, 0, 0, 1, 0, 0, 0, 1, 0",26.791062872032775,72.01099,0
62,2.0,25.9,47.0,2.9,0.0,10.0,1.0,0.0,15.0,2,"5, 2, 0, 0, 3, 3, 2, 0, 0, 0",27.61492817741656,72.60927,1
63,2.0,25.6,48.0,3.2,0.0,10.0,1.0,0.0,19.0,2,"4, 1, 0, 0, 1, 2, 0, 0, 0, 0, 1",27.227175446250914,72.33712,1
64,2.0,24.5,55.0,2.8,0.0,10.0,1.0,0.0,24.0,2,"3, 1, 0, 5, 0, 5, 6, 0, 0, 0",25.950409935183764,71.62025,1
65,2.0,23.5,58.0,2.2,0.0,10.0,1.0,0.0,13.0,2,"2, 6, 0, 9, 1, 6, 10, 0, 3, 0, 1, 1",24.867486444931735,70.5347,1
66,3.0,22.1,68.0,1.9,0.0,10.0,1.0,0.0,10.0,2,"12, 9, 0, 13, 1, 8, 9, 0, 0, 0, 1, 4",23.308581852378353,69.35472,1
67,3.0,21.3,75.0,1.7,0.0,10.0,1.0,0.0,14.0,2,"9, 9, 0, 11, 2, 13, 10, 0, 0, 0, 1",22.450087465555235,68.64325,1
68,3.0,20.6,82.0,1.5,0.0,10.0,1.0,0.0,10.0,2,"10, 7, 0, 12, 1, 18, 11, 0, 0, 0, 1, 1, 3",21.729001725665118,67.98308,1
69,2.0,23.5,69.0,1.9,0.0,10.0,1.0,0.0,10.0,3,"2, 1, 0, 8, 3, 6, 7, 1, 2, 0, 1, 1, 1",24.93373966155042,71.52085,1
70,1.0,25.1,63.0,1.8,0.3,8.0,1.0,1.0,17.0,5,"7, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1",26.807674651733294,73.27687,0
71,1.0,25.8,64.0,1.8,0.4000000000000001,9.0,1.0,1.0,13.0,5,"11, 0, 0, 1, 6, 1, 11, 0, 1, 0",27.617001731756865,74.39288,0
72,2.0,26.9,56.0,1.6,0.2,8.0,1.0,1.0,37.0,5,"10, 1, 0, 8, 2, 9, 14, 1, 2, 0",28.906528383652898,74.99436,0
73,2.0,27.2,57.0,2.5,0.0,9.0,1.0,1.0,45.0,5,"11, 0, 0, 3, 5, 3, 7, 1, 0, 0",29.19306855894578,75.52996,0
74,2.0,29.0,47.0,2.2,1.0,8.0,1.0,1.0,31.0,5,"4, 0, 0, 4, 3, 7, 10, 0, 3, 0, 1",31.322436589999405,76.5627,0
75,2.0,29.2,48.0,2.6,0.9,8.0,1.0,1.0,19.0,5,"4, 0, 0, 7, 3, 5, 4, 0, 0, 0, 1, 2",31.56500059805612,76.96384,0
76,2.0,29.1,51.0,2.3,0.9,7.0,1.0,1.0,24.0,5,"8, 2, 0, 6, 7, 5, 4, 0, 0, 0, 1",31.441470592140355,77.27059,0
77,2.0,28.2,55.0,2.7,0.4,9.0,1.0,1.0,32.0,5,"2, 10, 0, 8, 3, 6, 4, 2, 1, 0",30.374782077162372,76.6319,0
78,3.0,27.4,58.0,2.5,0.0,7.0,1.0,1.0,40.0,5,"8, 14, 0, 13, 7, 11, 12, 1, 1, 0, 2, 2",29.430075844105723,75.93307999999999,0
79,3.0,26.6,59.0,2.6,0.0,7.0,1.0,1.0,52.0,5,"4, 8, 0, 5, 3, 6, 9, 4, 3, 0, 3, 1",28.47468242415791,74.94606,0
80,3.0,25.3,66.0,2.6,0.0,8.0,1.0,1.0,47.0,5,"8, 7, 0, 7, 3, 4, 5, 0, 1, 0, 1, 2, 3",26.929523337208796,73.88602,0
81,1.0,25.2,65.0,0.8000000000000002,0.0,7.0,1.0,1.0,25.0,6,"7, 0, 0, 0, 2, 0, 3, 0, 0, 0",27.149443384607743,73.63319999999999,0
82,1.0,27.6,55.0,1.3,0.8,6.0,1.0,1.0,21.0,6,"5, 1, 0, 1, 4, 3, 0, 0, 0, 0",29.72731507517302,75.8192,0
83,2.0,29.2,49.0,1.6,1.0,7.0,1.0,1.0,21.0,6,"13, 0, 0, 9, 4, 5, 6, 0, 0, 0, 1, 1",31.542787618940466,77.10991999999999,0
84,2.0,30.700000000000003,40.0,2.5,1.0,7.0,1.0,1.0,48.0,6,"11, 1, 0, 6, 3, 7, 5, 2, 0, 0, 1, 2",33.340696049244826,77.6042,0
85,2.0,31.2,44.0,3.5,1.0,7.0,1.0,1.0,29.0,6,"7, 1, 0, 7, 9, 9, 4, 0, 0, 0, 1",34.01188948891394,78.87072,0
86,2.0,30.7,46.0,2.9,0.6,7.0,1.0,1.0,49.0,6,"9, 1, 0, 5, 3, 6, 2, 2, 0, 0, 1",33.36810738310484,78.56978,0
87,2.0,31.2,40.0,3.0,1.0,4.0,1.0,1.0,50.0,6,"9, 9, 0, 14, 7, 9, 6, 0, 0, 0, 2",33.97531929395644,78.2072,0
88,2.0,29.6,54.0,1.0,0.7,7.0,1.0,1.0,37.0,6,"14, 14, 0, 21, 4, 4, 9, 0, 0, 0, 1, 1",31.96614243312932,78.37816000000001,0
89,3.0,30.299999999999997,45.0,2.1,1.0,3.0,1.0,1.0,44.0,6,"15, 16, 0, 16, 5, 18, 7, 2, 0, 0, 2, 3",32.84150252137804,77.90665,0
90,3.0,28.6,54.0,2.5,0.5,4.0,1.0,1.0,53.0,6,"5, 7, 0, 8, 1, 12, 8, 1, 0, 0, 3",30.852119555065396,77.03356,0
91,3.0,26.8,59.0,2.2,0.0,1.0,1.0,1.0,60.0,6,"6, 4, 0, 13, 4, 10, 8, 2, 0, 0, 1",28.740456531972338,75.22488,0
92,1.0,25.0,70.0,0.8,0.0,10.0,1.0,0.0,41.0,0,"0, 0, 0, 0, 0, 0, 0, 0, 1, 0",26.931219513180803,73.865,0
93,1.0,25.8,66.0,1.6000000000000003,0.0,10.0,1.0,0.0,21.0,0,"3, 0, 0, 0, 2, 0, 0, 0, 13, 0",27.64570874938493,74.61772,0
94,1.0,26.8,60.0,1.1,0.0,10.0,1.0,0.0,29.0,0,"10, 1, 0, 2, 4, 2, 15, 0, 12, 0, 2, 1, 1, 1",28.849183629065358,75.3472,0
95,2.0,27.2,60.0,1.8,0.0,10.0,1.0,0.0,42.0,0,"12, 1, 0, 5, 5, 2, 21, 6, 22, 0, 7, 4, 2, 2",29.235655891804015,75.9088,0
96,2.0,27.1,61.0,1.8,0.0,10.0,1.0,0.0,78.0,0,"11, 2, 0, 16, 11, 12, 18, 4, 17, 1, 1",29.120037737514934,75.89368999999999,1
97,2.0,26.7,66.0,2.7,0.0,10.0,1.0,0.0,55.0,0,"11, 4, 0, 8, 9, 6, 17, 1, 22, 1, 2",28.586754204307667,75.93478,1
98,2.0,25.4,75.0,1.3,0.0,10.0,1.0,0.0,60.0,0,"16, 4, 0, 16, 11, 4, 13, 0, 26, 1, 2, 1, 2",27.24339557229778,75.0085,1
99,3.0,22.800000000000004,86.0,0.8,0.0,7.0,1.0,0.0,12.0,0,"21, 18, 0, 62, 12, 13, 33, 3, 22, 0, 3, 2, 1, 1, 4",24.53075692748449,71.88192000000001,0
100,3.0,22.199999999999996,92.0,1.5,0.0,7.0,1.0,0.0,22.0,0,"15, 13, 0, 59, 11, 11, 25, 2, 16, 0, 1, 3, 2, 2, 5",23.554296783670186,71.34575999999998,0
101,1.0,22.6,87.0,1.3,0.0,9.0,1.0,0.0,23.0,1,"0, 0, 0, 1, 0, 0, 0, 0, 5, 0",24.082043477729286,71.63038,0
102,1.0,23.1,83.0,1.1,0.0,9.0,1.0,0.0,21.0,1,"5, 0, 0, 2, 3, 0, 0, 0, 13, 0",24.7212128614132,72.12326999999999,0
103,1.0,25.5,67.0,1.5,0.7,7.0,1.0,0.0,12.0,1,"24, 1, 0, 5, 8, 6, 13, 1, 16, 0, 4, 3, 2",27.318967840805662,74.28815,0
104,2.0,25.5,80.0,3.0,0.3,8.0,1.0,0.0,47.0,1,"23, 1, 0, 7, 10, 6, 7, 1, 24, 0, 1, 2",27.125528256480187,75.711,1
105,2.0,25.9,80.0,1.7,0.0,8.0,1.0,0.0,71.0,1,"20, 3, 0, 6, 8, 3, 9, 1, 16, 1, 2",27.7461318045386,76.3518,1
106,2.0,28.6,58.0,2.6,0.6,7.0,1.0,0.0,13.0,1,"16, 4, 0, 16, 8, 11, 4, 1, 18, 0, 1, 1",30.851850250233454,77.59412,0
107,2.0,28.5,58.0,2.3,0.5,7.0,1.0,0.0,26.0,1,"20, 9, 0, 35, 6, 9, 19, 1, 21, 0, 2, 1, 1, 1, 2",30.734929683010467,77.4557,0
108,3.0,28.399999999999995,61.0,2.3,0.6,4.0,1.0,0.0,47.0,1,"28, 20, 0, 55, 10, 13, 21, 0, 25, 0, 3, 2, 1, 3, 3",30.617172864822148,77.73176,0
109,3.0,27.0,71.0,2.7999999999999994,0.0,6.0,1.0,0.0,68.0,1,"36, 17, 0, 74, 5, 17, 28, 4, 27, 0, 1, 2, 1, 2",28.93877994982915,76.9953,0
110,3.0,25.399999999999995,73.0,2.1,0.0,4.0,1.0,0.0,59.0,1,"29, 13, 0, 55, 10, 10, 14, 5, 19, 0, 5, 1, 2, 4",27.110791016355407,74.79157999999998,0
111,1.0,22.8,86.0,1.2,0.0,9.0,1.0,0.0,74.0,2,"0, 0, 0, 0, 4, 0, 0, 0, 0, 0",24.345805211165022,71.88192000000001,0
112,1.0,26.3,65.0,1.3,0.3,9.0,1.0,0.0,37.0,2,"7, 0, 0, 3, 1, 0, 3, 2, 19, 4",28.259544459837652,75.23205,0
113,1.0,26.9,66.0,1.0,0.0,9.0,1.0,0.0,39.0,2,"23, 2, 0, 4, 5, 2, 23, 0, 31, 9, 3, 2, 1, 2, 2",28.974031947903917,76.22746,0
114,2.0,26.5,70.0,0.5,0.0,9.0,1.0,0.0,72.0,2,"20, 4, 0, 13, 5, 4, 18, 3, 29, 12, 4, 1, 2, 3",28.64192410686023,76.11949999999999,1
115,2.0,27.2,70.0,2.1,0.0,9.0,1.0,0.0,96.0,2,"17, 1, 0, 21, 9, 7, 15, 1, 22, 6, 1, 3",29.215950344731073,77.1716,0
116,2.0,26.699999999999996,69.0,1.6,0.0,9.0,1.0,0.0,71.0,2,"15, 5, 0, 7, 15, 4, 11, 2, 29, 3, 1, 1, 1, 1",28.677288450149632,76.29876999999999,0
117,2.0,28.3,60.0,1.8,0.3,9.0,1.0,0.0,58.0,2,"16, 5, 0, 21, 7, 8, 9, 1, 27, 7, 4, 2",30.507455588983916,77.4532,0
118,2.0,28.9,58.0,2.0,0.4,9.0,1.0,0.0,20.0,2,"20, 3, 0, 22, 9, 9, 11, 1, 27, 1, 2, 3",31.203201430368136,78.00938,0
119,2.0,28.699999999999996,59.0,2.8,0.0,9.0,1.0,0.0,38.0,2,"30, 12, 0, 45, 15, 11, 15, 0, 26, 13, 1, 6, 3, 4, 3",30.970871559788,77.87366999999999,0
120,3.0,28.3,61.0,2.6,0.0,9.0,1.0,0.0,63.0,2,"42, 26, 0, 77, 7, 17, 27, 0, 45, 13, 1, 1, 8, 5, 5, 1",30.49527507632212,77.59037000000001,0
